0x00100008 0x00100218 _start
0x001044d0 0x001045bc Vsys_Ar2Up
0x001045c0 0x001046bc Vsys_BackNum
0x001046c0 0x00104760 Vvt_GetHeight
0x00104760 0x00104800 Vvt_GetWidth
0x00104800 0x001048f0 Vvt_SetTex
0x001048f0 0x001049cc Vvt_GetId
0x001049d0 0x00104ab0 RA_VvramAr2Up
0x00104ab0 0x00104b10 Vvt_Ar2Del
0x00104b10 0x00104bfc Vvt_Ar2Up
0x00104c00 0x00104d0c Vvt_BackNum
0x00104d10 0x00104ec8 Vvt_Init
0x00104ed0 0x00105c1c Cursor_Tran5
0x00105c20 0x00106874 Cursor_Tran4
0x00106880 0x00107798 Cursor_Tran3
0x001077a0 0x001078d8 Cursor_Tran
0x001078e0 0x00107d28 Cursor_AllTran
0x00107d30 0x001080e4 Cursor_Proc
0x001080f0 0x001083c8 Cursor_Move
0x001083d0 0x001084d0 Cursor_Show
0x001084d0 0x001085d0 Cursor_Hidden
0x001085d0 0x001087f4 Cursor_Del
0x00108800 0x00108a3c Cursor_Make
0x00108a40 0x00108b2c Cursor_BackNum
0x00108b30 0x00108b6c CursorInit
0x00108b70 0x001093b0 main
0x00109400 0x00109454 changeInputVolume
0x00109460 0x001094dc changeMasterVolume
0x001094e0 0x00109578 sendToIOP
0x00109580 0x00109710 sendToIOP2area
0x00109710 0x001097c0 iopGetArea
0x001097c0 0x001099c0 audioDecSendToIOP
0x001099c0 0x001099d8 audioDecIsPreset
0x001099e0 0x00109a74 audioDecEndPut
0x00109a80 0x00109b48 audioDecBeginPut
0x00109b50 0x00109b9c audioDecReset
0x00109ba0 0x00109bc0 audioDecStart
0x00109bc0 0x00109c38 audioDecResume
0x00109c40 0x00109cd0 audioDecPause
0x00109cd0 0x00109d3c audioDecDelete
0x00109d40 0x00109d94 audioDecCreate
0x00109da0 0x00109db0 endDisplay
0x00109db0 0x00109e04 startDisplay
0x00109e10 0x00109e54 handler_endimage
0x00109e60 0x0010a050 vblankHandler2
0x0010a050 0x0010a3f4 setImageTag2
0x0010a400 0x0010a410 DmaAddr
0x0010a410 0x0010a428 UncAddr
0x0010a430 0x0010a5a0 vblankHandler
0x0010a5a0 0x0010a878 setImageTag
0x0010a880 0x0010abcc clearGsMem
0x0010abd0 0x0010ac70 MovieStop
0x0010ac70 0x0010ace0 MoviePause
0x0010ace0 0x0010ad08 proceedAudio
0x0010ad10 0x0010ad3c ErrMessage
0x0010ad40 0x0010ad58 defMain
0x0010ad60 0x0010ae40 termAll
0x0010ae40 0x0010b1ac initAll
0x0010b1b0 0x0010b1f8 isAudioOK
0x0010b200 0x0010b224 switchThread
0x0010b230 0x0010b44c readMpeg
0x0010b450 0x0010b730 MovieTexture
0x0010b730 0x0010b8a0 GetMovieStatus
0x0010b8a0 0x0010b958 StandbyMovie
0x0010b960 0x0010bc24 MovieInit
0x0010bc30 0x0010bd64 tabStrCmp
0x0010bd70 0x0010bdb4 LoadModule
0x0010bdc0 0x0010bf30 copy2area
0x0010bf30 0x0010c018 pcmCallback
0x0010c020 0x0010c160 videoCallback
0x0010c160 0x0010c1b0 readBufEndGet
0x0010c1b0 0x0010c214 readBufBeginGet
0x0010c220 0x0010c2b0 readBufEndPut
0x0010c2b0 0x0010c2f0 readBufBeginPut
0x0010c2f0 0x0010c2f8 readBufDelete
0x0010c300 0x0010c330 readBufCreate
0x0010c330 0x0010c474 strFileRead
0x0010c480 0x0010c5f0 strFileClose
0x0010c5f0 0x0010c8e0 strFileOpen
0x0010c8e0 0x0010c9d0 strFileStatusCheck
0x0010c9d0 0x0010c9dc srtFileInit
0x0010c9e0 0x0010cbdc viBufGetTs
0x0010cbe0 0x0010cc08 IsPtsInRegion
0x0010cc10 0x0010cd5c viBufPutTs
0x0010cd60 0x0010cf24 viBufModifyPts
0x0010cf30 0x0010cf90 viBufFlush
0x0010cf90 0x0010cfe8 viBufCount
0x0010cff0 0x0010d048 viBufDelete
0x0010d050 0x0010d3e4 viBufRestartDMA
0x0010d3f0 0x0010d4d8 viBufStopDMA
0x0010d4e0 0x0010d770 viBufAddDMA
0x0010d770 0x0010d7d8 viBufEndPut
0x0010d7e0 0x0010d8f0 viBufBeginPut
0x0010d8f0 0x0010da64 viBufReset
0x0010da70 0x0010db10 viBufCreate
0x0010db10 0x0010db44 scTag2
0x0010db50 0x0010dbc0 setD4_CHCR
0x0010dbc0 0x0010dc30 setD3_CHCR
0x0010dc30 0x0010dc9c getFIFOindex
0x0010dca0 0x0010de10 cpy2area
0x0010de10 0x0010de5c mpegTS
0x0010de60 0x0010de8c mpegRestartDMA
0x0010de90 0x0010debc mpegStopDMA
0x0010dec0 0x0010def4 mpegNodata
0x0010df00 0x0010df30 mpegError
0x0010df30 0x0010e370 decBs0
0x0010e370 0x0010e404 videoDecMain
0x0010e410 0x0010e460 videoDecIsFlushed
0x0010e460 0x0010e558 videoDecFlush
0x0010e560 0x0010e584 videoDecInputCount
0x0010e590 0x0010e5d4 videoDecPutTs
0x0010e5e0 0x0010e5f0 videoDecSetState
0x0010e5f0 0x0010e5fc videoDecGetState
0x0010e600 0x0010e640 videoDecDelete
0x0010e640 0x0010e64c videoDecReset
0x0010e650 0x0010e674 videoDecEndPut
0x0010e680 0x0010e6a4 videoDecBeginPut
0x0010e6b0 0x0010e6d8 videoDecSetStream
0x0010e6e0 0x0010e700 videoDecSetDecodeMode
0x0010e700 0x0010e824 videoDecCreate
0x0010e830 0x0010e850 voBufDecCount
0x0010e850 0x0010e8ec voBufGetTag
0x0010e8f0 0x0010e904 voBufIsEmpty
0x0010e910 0x0010e970 voBufGetData
0x0010e970 0x0010ea0c voBufIncCount
0x0010ea10 0x0010ea28 voBufIsFull
0x0010ea30 0x0010ea40 voBufReset
0x0010ea40 0x0010ea5c voBufDelete
0x0010ea60 0x0010eacc voBufCreate
0x0010ead0 0x0010efbc orgGetPadStatus
0x0010efc0 0x0010f360 orgPadCheck
0x0010f360 0x0010f458 orgPadOpen
0x0010f460 0x0010f4ac orgPadInitialize
0x0010f4b0 0x0010f4f0 artsSprComDelete
0x0010f4f0 0x0010f568 artsSprComInsert
0x0010f570 0x0010f614 artsSprControl
0x0010f620 0x0010ff78 artsSprDraw2D
0x0010ff80 0x0011035c artsSprDraw3D
0x00110360 0x001103c0 artsSprDraw
0x001103c0 0x001103f0 artsSprSetSTquadrilateral
0x001103f0 0x00110410 artsSprSetDrawStatus
0x00110410 0x00110448 artsSprSetZbuf
0x00110450 0x00110470 artsSprSetAlphaMode
0x00110470 0x00110490 artsSprSetLinear
0x00110490 0x001104b8 artsSprSetRot
0x001104c0 0x001104e8 artsSprSetZoom
0x001104f0 0x00110518 artsSprSetColor
0x00110520 0x00110548 artsSprSetBasisSizeDefault
0x00110550 0x00110570 artsSprSetBasisSize
0x00110570 0x00110590 artsSprSetHotSpotDirect
0x00110590 0x00110678 artsSprSetHotSpot
0x00110680 0x001106d0 artsSprRelease
0x001106d0 0x00110c54 Tim2SprLoadInit
0x00110c60 0x00110d20 tim2SprLoad
0x00110d20 0x00110e08 ZoomAndRotation2D
0x00110e10 0x00111084 Link_VAAS_Dat
0x00111090 0x001111f4 Seek_Last_VAAS_Dat
0x00111200 0x00111270 GetFreeVAAS_Dat
0x00111270 0x00111324 FreeAlloc
0x00111330 0x001113d8 Mfree
0x001113e0 0x00111438 GetAllocAddress
0x00111440 0x00111518 Malloc
0x00111520 0x00111540 Release
0x00111540 0x00111620 Entry
0x00111620 0x00111684 __dt
0x00111690 0x001116b0 __ct
0x001116b0 0x001116d0 Tim2CalcBufSize
0x001116d0 0x001117d8 Tim2CalcBufWidth
0x001117e0 0x00111a2c Tim2LoadTexture
0x00111a30 0x00111dc4 Tim2LoadClut
0x00111dd0 0x00112194 Tim2LoadImage
0x001121a0 0x00112230 Tim2GetPictureHeader
0x00112230 0x00112348 Tim2CheckFileHeaer
0x00112350 0x00112370 _dpfgt
0x00112370 0x00112390 _dpflt
0x00142320 0x00142438 McGetGameDataCapacity
0x00142440 0x00142490 McUseUnFormat
0x00142490 0x001424e0 McUseFormat
0x001424e0 0x00142558 McGetFormatState
0x00142560 0x001425e0 McGetFree
0x001425e0 0x00142798 McCheckInsert
0x001427a0 0x001427d4 McGetSaveDataEntry
0x001427e0 0x00142804 McGetGameDirEntry
0x00142810 0x0014293c McDeleteGameDir
0x00142940 0x001429c0 McDeleteSaveFile
0x001429c0 0x00142c08 McLoadFileDataAll
0x00142c10 0x00142dd8 McLoadFileData
0x00142de0 0x00142fe4 McLoadFileHeader
0x00142ff0 0x00143260 McSaveFile
0x00143260 0x00143570 McCreateGameDir
0x00143570 0x001438c8 McIdle
0x001438d0 0x00143914 McCheckInsertAuto
0x00143920 0x001439b0 McInit
0x001439b0 0x00143b6c MakeIconValue
0x00143b70 0x00143c0c McFileBreakInit
0x00143c10 0x00143ccc McCheckFreeSaveFile
0x00143cd0 0x00143dcc McCheckFreeGameDir
0x00143dd0 0x00143e88 McCheckSaveDataEntryAll
0x00143e90 0x00143f54 McCheckGameDirEntry
0x00143f60 0x00143f6c McRun_ChgPrior
0x00143f70 0x00143f7c McRun_Rename
0x00143f80 0x00143f8c McRun_EntSpace
0x00143f90 0x00143f9c McRun_UnFormat
0x00143fa0 0x00143fac McRun_Format
0x00143fb0 0x00143fd8 McRun_Delete
0x00143fe0 0x00143fec McRun_FileInfo
0x00143ff0 0x00144098 McRun_GetDir
0x001440a0 0x001440c8 McRun_ChDir
0x001440d0 0x00144108 McRun_MkDir
0x00144110 0x0014411c McRun_Flush
0x00144120 0x00144160 McRun_Write
0x00144160 0x0014417c McRun_Read
0x00144180 0x001441b8 McRun_Seek
0x001441c0 0x00144218 McRun_Close
0x00144220 0x00144278 McRun_Open
0x00144280 0x001442e0 McRun_CardInfo
0x001442e0 0x001442ec McFin_ChgPrior
0x001442f0 0x001442fc McFin_Rename
0x00144300 0x0014430c McFin_EntSpace
0x00144310 0x0014431c McFin_FileInfo
0x00144320 0x00144348 McFin_ChDir
0x00144350 0x0014435c McFin_Flush
0x00144360 0x001443e8 McFin_Read
0x001443f0 0x00144428 McFin_Seek
0x00144430 0x00144478 McFin_Close
0x00144480 0x00144538 McFin_Close_ManageSaveData
0x00144540 0x00144580 CheckSum_PrcInit
0x00144580 0x001445d0 McFin_Close_ManageGameDir
0x001445d0 0x00144678 McFin_Delete
0x00144680 0x00144700 McFin_Write
0x00144700 0x00144760 McFin_Open
0x00144760 0x00144798 McFin_MkDir
0x001447a0 0x00144888 McFin_GetDir
0x00144890 0x001448bc McFin_GetDir_ChkInsert
0x001448c0 0x00144a10 McFin_GetDir_ChkForGameDirDelete
0x00144a10 0x00144b4c McFin_GetDir_ChkSaveData
0x00144ba0 0x00144d50 McFin_GetDir_ChkDir
0x00144d50 0x00144d5c McFin_UnFormat
0x00144d60 0x00144da4 McFin_Format
0x00144db0 0x00144f64 McFin_CardInfo
0x00144f70 0x00144ffc McCheckFileNum
0x00145000 0x00145070 RetryStatCheck
0x00145070 0x001450ac McWriteIconFile
0x001450b0 0x001452e8 McWriteIconSysFile
0x001452f0 0x00145348 McOpenIconFile
0x00145350 0x00145398 McOpenIconSysFile
0x001453a0 0x001454e8 McAddFunc
0x001454f0 0x00145a70 ChangeToStrCode
0x00145a70 0x00145aa4 McChDir
0x00145ab0 0x00145ae0 McSeek
0x00145ae0 0x00145b10 McMakeDir
0x00145b10 0x00145ba8 McDeleteFile
0x00145bb0 0x00145bd4 McCloseFile
0x00145be0 0x00145c10 McReadFile
0x00145c10 0x00145c40 McWriteFile
0x00145c40 0x00145cf4 McOpenFile
0x00145d00 0x00145d38 McGetInfo
0x00145d40 0x00145da0 McGetDir
0x00145da0 0x00145dc8 McUnFormat
0x00145dd0 0x00145df8 McFormat
0x00145e00 0x00145e2c McGetIdleState
0x00145e30 0x00145e80 McSyncGetError
0x00145e80 0x00145f18 McErr_Seek
0x00145f20 0x00145fe0 McErr_Delete
0x00145fe0 0x00146090 McErr_Read
0x00146090 0x00146170 McErr_Write
0x00146170 0x00146248 McErr_Close
0x00146250 0x00146378 McErr_Open
0x00146380 0x00146428 McErr_GetDir
0x00146430 0x001464f8 McErr_MkDir
0x00146500 0x001465d0 McErr_CardInfo
0x001465d0 0x00146610 McErr_UnFormat
0x00146610 0x00146650 McErr_Format
0x00146650 0x00146744 McErrorInit
0x00146750 0x00146838 McGetFuncQueue
0x00146840 0x00146888 McInitQueue
0x00146890 0x001469b8 McAddFuncQueue
0x001469c0 0x00146b88 Read_CheckSum
0x00146b90 0x00146cac Write_CheckSum
0x00146cb0 0x00146d40 ChkSum_buffcpy
0x00146d40 0x00146df0 GetCheckSum
0x00146df0 0x00146fa4 mcsDraw
0x00146fb0 0x00147030 mcsDrawFrameHeader
0x00147030 0x00147154 mcsDrawFileNum
0x00147160 0x001472b0 mcsDrawCommand
0x001472b0 0x00147348 mcsDrawMode
0x00147350 0x00147420 mcsDrawCursor
0x00147420 0x00147478 mcsSprSetSize
0x00147480 0x001474a8 mcsDisableYesNoWindow
0x001474b0 0x001474d8 mcsDisableFileNumWindow
0x001474e0 0x00147520 mcsDisableMessageWindow
0x00147520 0x00147548 mcsEnableFileNumWindow
0x00147550 0x00147590 mcsDisableFrameTitleWindow
0x00147590 0x001475d0 mcsDisableHeaderDataWindow
0x001475d0 0x001475d8 mcsDisableFreeSpaceWindow
0x001475e0 0x00147628 mcsDisableAllWindow
0x00147630 0x00147678 mcsEnableHeaderDataWindow
0x00147680 0x001476a8 mcsEnableFrameTitleWindow
0x001476b0 0x00147850 mcsEnableWindow
0x00147850 0x00147950 mcsMakeStringNumber
0x00147950 0x001479e8 mcsWindow
0x001479f0 0x00147bc4 mcsDrawFrameTitleWindow
0x00147bd0 0x00147dfc mcsDrawSaveFrame
0x00147e00 0x00147e68 mcsReleaseFrameTitleWindow
0x00147e70 0x00147ef8 mcsClearFrameWindow
0x00147f00 0x00147fe8 mcsInitFrameTitleWindow
0x00147ff0 0x0014828c mcsDrawYesNoWindow
0x00148290 0x001482b8 mcsMakeYesNoWindow
0x001482c0 0x001483f0 mcsPutHeaderDataWindow
0x001483f0 0x001484cc mcsSetHeaderData
0x001484d0 0x00148518 mcsClearHeaderWindow
0x00148520 0x00148564 mcsDrawHeaderWindow
0x00148570 0x00148598 mcsReleaseHeaderWindow
0x001485a0 0x001485fc mcsInitHeaderWindow
0x00148600 0x00148648 mcsClearMessageWindow
0x00148650 0x00148694 mcsDrawMessageWindow
0x001486a0 0x001486cc mcsMakeMessageWindow
0x001486d0 0x001486f8 mcsReleaseMessageWindow
0x00148700 0x00148758 mcsInitMessageWindow
0x00148760 0x00148778 SetMcSystemInfo
0x00148780 0x00148830 MemorycardPart
0x00148830 0x00148870 mcsError
0x00148870 0x001489a4 mcsFadeOut
0x001489b0 0x00148a64 mcsFadeIn
0x00148a70 0x00148b48 mcsMain
0x00148b50 0x00148b70 mcsControl
0x00148b70 0x00148bc8 mcscFileNum
0x00148bd0 0x00148f0c ctlFileNum_ModeDel
0x00148f10 0x00149294 ctlFileNum_ModeSave
0x001492a0 0x00149358 mcsAutoCheckErrorProc
0x00149360 0x00149448 mcsPutWaitWindow
0x00149450 0x00149528 prc_pwNextMain
0x00149530 0x00149744 mcsSelectWindow
0x00149750 0x00149bb4 prc_ynNextMain
0x00149bc0 0x00149cc0 prc_MakeGameFile
0x00149cc0 0x00149dc0 prc_ClearMakeGameFile
0x00149dc0 0x00149df4 CheckMcFreeSpace
0x00149e00 0x00149eb8 mcsPreCheckMc
0x00149ec0 0x0014a090 mcsmLoadHeaderList
0x0014a090 0x0014a09c mcsmEndCheckMc
0x0014a0a0 0x0014a0ac mcsmEndStartCheckMc
0x0014a0b0 0x0014a324 mcsmCheckMc
0x0014a330 0x0014a364 EndCheckMcAfter
0x0014a370 0x0014a420 mcsmStartCheckMc
0x0014a420 0x0014a4c0 mcsmClearCheckMc
0x0014a4c0 0x0014a5d4 EndClearCheckMc
0x0014a5e0 0x0014a754 StartCheckMc
0x0014a760 0x0014a7c0 mcsCheckFreeSpace
0x0014a7c0 0x0014a824 CheckSaveDataEntry
0x0014a830 0x0014a910 mcsmStartSystemLoad
0x0014a910 0x0014aa10 mcsmLoadSystemdata
0x0014aa10 0x0014aa1c mcsmIdle
0x0014aa20 0x0014aa2c mcsmClearIdle
0x0014aa30 0x0014aaa8 mcsmFormat
0x0014aab0 0x0014ab28 mcsmDeleteGameFile
0x0014ab30 0x0014ac10 mcsmDeleteSaveFile
0x0014ac10 0x0014ac88 mcsmUnFormat
0x0014ac90 0x0014af70 mcsmSelectFile
0x0014af70 0x0014b2d8 SetSaveMode
0x0014b2e0 0x0014b2f8 sprFileNumSetColor
0x0014b300 0x0014b6b8 mcsGetKey
0x0014b6c0 0x0014b778 mcsmSelectFilePushExit
0x0014b780 0x0014b8f0 mcsmSelectFilePushDelete
0x0014b8f0 0x0014ba68 mcsmSelectFilePushReturn
0x0014ba70 0x0014bb58 mcsmMakeGamefile
0x0014bb60 0x0014bc0c SaveDummyData
0x0014bc10 0x0014bd48 mcsmMakeSavedata
0x0014bd50 0x0014be10 mcsmMakeSystemdata
0x0014be10 0x0014bf78 mcsmMakeDummyData
0x0014bf80 0x0014c0e0 mcsmClearMakeDummyData
0x0014c0e0 0x0014c170 mcsmMakeClearData
0x0014c170 0x0014c1f0 mcsHeaderDataReload
0x0014c1f0 0x0014c35c mcsmLoadSavedata
0x0014c360 0x0014c3e8 mcsmClearDelGameFile
0x0014c3f0 0x0014c498 mcsmClearMakeGameFile
0x0014c4a0 0x0014c528 mcsmClearFormat
0x0014c530 0x0014c6c4 preLoadHeaderList
0x0014c6d0 0x0014c6f4 SetDefaultCursor
0x0014c700 0x0014c7dc GetLoadListNumber
0x0014c7e0 0x0014c878 GetFileNumSprColor
0x0014c880 0x0014caa8 mcsLoadWait
0x0014cab0 0x0014caf0 mcsLoadObject
0x0014caf0 0x0014cb7c mcsExit
0x0014cb80 0x0014cba8 mcsObjectRelease
0x0014cbb0 0x0014cd70 mcsInit
0x0014cd70 0x0014cda0 mcsInitWindow
0x0014cda0 0x0014cde8 mcsInitSystem
0x0014cdf0 0x0014ced0 mcsLoadIcon
0x0014ced0 0x0014cfcc mcsReadIcon
0x0014cfd0 0x0014d124 mcsGetTime
0x0014d130 0x0014d88c AD_WindowTranProc3
0x0014d890 0x0014dbd0 AD_WindowTranProc2
0x0014dbd0 0x0014df50 AD_WindowTranProc1
0x0014df80 0x0014e144 AD_WindowAllTran
0x0014e150 0x0014e924 AD_WindowMasu9Tran
0x0014e930 0x0014ed44 AD_WindowMasu3hTran
0x0014ed50 0x0014f154 AD_WindowMasu3wTran
0x0014f160 0x0014f2e0 AD_WindowMasu1Tran
0x0014f2e0 0x0014f4f8 AD_WindowTran
0x0014f500 0x0014f5c8 AD_WindowStateProc
0x0014f5d0 0x0014f8e8 AD_WindowProc
0x0014f8f0 0x0014f988 AD_WinTxtNumGet
0x0014f990 0x0014fa28 AD_WinTxtTimeGet
0x0014fa30 0x0014fadc AD_WinTxtSpeedChange
0x0014fae0 0x0014fbd0 AD_WinTxtSetEnd
0x0014fbd0 0x0014fc54 AD_WinTxtPlus
0x0014fc60 0x0014fce4 AD_WinTxtSet
0x0014fcf0 0x00150188 AD_WinActSet
0x001501f0 0x00150274 AD_WinActGetReady
0x00150280 0x00150350 AD_WinTxtStateSet
0x00150350 0x00150458 AD_WinStateSet
0x00150460 0x001506c0 AD_WinMake
0x001506c0 0x00150774 AD_WinGpMake
0x001508e0 0x001509ec AD_WinBackNum
0x001509f0 0x00150a8c AD_Wininit
0x00150a90 0x00150b40 CLR_Get
0x00150b40 0x00150bc0 CLR_Set
0x00150bc0 0x00150c14 CLR_Init
0x00150c20 0x00150ca0 Snd_Strm_AllPlayTimeCheck
0x00150ca0 0x00150d34 Snd_Strm_CommandCheck
0x00150d40 0x00150dd8 Snd_Strm_StateCheck
0x00150de0 0x00150e14 Snd_Strm_StateCheckCh
0x00150e20 0x00150e78 Snd_Strm_TranCountGet
0x00150e80 0x00150ee8 Snd_Strm_AllSaveSizeGet
0x00150ef0 0x00150f58 Snd_Strm_SaveSizeGet
0x00150f60 0x00150fb8 Snd_Strm_SaveSizeSet
0x00150fc0 0x00151018 Snd_Strm_SaveNumGet
0x00151020 0x00151068 Snd_Strm_StopingCountGet
0x00151070 0x001510d0 Snd_Strm_BufTran
0x001510d0 0x00151154 Snd_Strm_BufAddrGet
0x00151160 0x001511b0 Snd_Strm_EntryIdGet
0x001511b0 0x00151208 Snd_Strm_SpuBufSizeGet
0x00151210 0x00151268 Snd_Strm_IopBufSizeGet
0x00151270 0x001512c8 Snd_Strm_CpyBufSizeGet
0x001512d0 0x00151328 Snd_StrmIdBitGet
0x00151330 0x00151764 Snd_Strm_Command
0x00151770 0x00151e4c Snd_Strm_Proc
0x00151e50 0x00151ef8 Snd_Strm_CdProc
0x00151f00 0x00151fa0 Snd_Strm_Check
0x00151fa0 0x0015228c Snd_Strm_Stop2
0x00152290 0x00152670 Snd_Strm_Stop
0x00152670 0x001527d0 Snd_Strm_DummyPlay
0x001527d0 0x00152b9c Snd_Strm_Play
0x00152ba0 0x00152c4c Snd_Strm_FillDataTranEndProc
0x00152c50 0x00152ee8 Snd_Strm_FillDataTranProc
0x00152ef0 0x00153274 Snd_Strm_FillDataReadProc
0x00153280 0x0015332c Snd_Strm_FillData
0x00153330 0x0015366c Snd_Strm_FillDataCh
0x00153670 0x001536e0 Snd_Strm_PreloadErrProcCh
0x001536e0 0x00153758 Snd_Strm_PreloadErrProc
0x00153760 0x001537fc Snd_Strm_PreEnd
0x00153800 0x00153880 Snd_Strm_PreEndCh
0x00153880 0x00153944 Snd_Strm_PreReadFile
0x00153950 0x0015406c Snd_Strm_PreReadFileCh
0x00154070 0x001540dc Snd_Strm_PreReadEntry
0x001540e0 0x00154418 Snd_Strm_PreReadEntryCh
0x00154420 0x00154620 Snd_Strm_Sync
0x00154620 0x00154b08 Snd_Strm_Update
0x00154b10 0x00154b88 Snd_Strm_VolSet
0x00154b90 0x00154cc0 Snd_Strm_VolSetCh
0x00154cc0 0x00154d48 Snd_Strm_EnvSet
0x00154d50 0x00154fe0 Snd_Strm_EnvSetCh
0x00154fe0 0x00155174 Snd_Stream_Set
0x00155180 0x0015535c Snd_StrmInit
0x00155360 0x00155390 chkFileRead
0x00155390 0x001553b0 iuGetFileSectorSize
0x001553b0 0x001553d0 iuRequestAccess
0x001553d0 0x001553e0 getDriveStatus
0x001553e0 0x001553f8 getStmStatus
0x00155400 0x00155490 getStmCmdStatus
0x00155490 0x001554a8 getStmBufferDataSize
0x001554b0 0x00155634 transStmMedia
0x00155640 0x001557c4 ctrlStmMedia
0x001557d0 0x0015592c termStmMedia
0x00155930 0x00155ad0 initStmMediaFromHdd
0x00155ad0 0x00155c3c initStmMedia
0x00155c40 0x00155ca0 AddStmCmdQueue
0x00155ca0 0x00155cb0 getReadQueueNum
0x00155cb0 0x00155d28 getReadStatus
0x00155d30 0x00155e60 readMediaFromHddCallBack
0x00155e60 0x00155f90 readMediaFromHdd
0x00155f90 0x00156088 readMediaCallBack
0x00156090 0x00156188 readMedia
0x00156190 0x00156200 getFileInfoStatus
0x00156200 0x00156270 getFileInfoCmdStatus
0x00156270 0x0015637c getFileInfo
0x00156380 0x001566b4 initMedia
0x001566c0 0x001566cc initMediaThread
0x001566d0 0x001566f8 fnStmCmd
0x00156700 0x00156758 nextStmCmd
0x00156760 0x001567f8 waitStmCmd
0x00156800 0x0015685c setStmCmd
0x00156860 0x001568fc transStream
0x00156900 0x00156974 ctrlStream
0x00156980 0x00156a1c initStream
0x00156a20 0x00156a48 fnReadData
0x00156a50 0x00156af0 nextRead
0x00156af0 0x00156b88 waitReadCmd
0x00156b90 0x00156c50 waitReadCmdRpc
0x00156c50 0x00156cac setReadCmd
0x00156cb0 0x00156d3c waitAbortRead
0x00156d40 0x00156e18 waitEndRead
0x00156e20 0x00156ea4 waitInitRead
0x00156eb0 0x00156f18 abortRead
0x00156f20 0x00156fb0 startRead
0x00156fb0 0x00157068 initRead
0x00157070 0x00157098 fnFileInfo
0x001570a0 0x00157100 nextFileInfo
0x00157100 0x00157198 waitFileInfo
0x001571a0 0x00157220 waitFileInfoRpc
0x00157220 0x001572cc reqFileInfo
0x001572d0 0x00157450 reqUni2ReadCallBack
0x00157450 0x00157504 getUni2FileSector
0x00157510 0x001576dc regUni2File
0x001576e0 0x00157768 searchUni2DataHeader
0x00157770 0x00157958 getUni2DataHeader
0x00157960 0x00157be0 getUni2FileHeader
0x00157be0 0x00157c58 initUni2FileSystem
0x00157c60 0x00157c80 getVbgStreamStatus
0x00157c80 0x00157ca0 getVbgStreamCommandStatus
0x00157ca0 0x00157cc0 getVbgStreamBufferDataSize
0x00157cc0 0x00157ce0 transVbgStream
0x00157ce0 0x00157d00 ctrlVbgStream
0x00157d00 0x00157d20 termVbgStream
0x00157d20 0x00157e6c initVbgStream
0x00157e70 0x00157e90 getVbgReadStatus
